UID          PID    PPID  C STIME TTY          TIME CMD
root        3860       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        3982       1  0 08:08 ?        00:00:00 [at-spi2-registr] <defunct>
root        4071       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        4079       1  4 08:08 ?        00:00:03 [python3] <defunct>
root        4101       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        4108       1  0 08:08 ?        00:00:00 [xdg-permission-] <defunct>
root        4114       1  0 08:08 ?        00:00:00 [xdg-document-po] <defunct>
root        4121       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        4132       1  0 08:08 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        4137       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        4260       1  0 08:08 ?        00:00:00 [at-spi2-registr] <defunct>
root        4347       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        4355       1  3 08:08 ?        00:00:02 [python3] <defunct>
root        4377       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        4384       1  0 08:08 ?        00:00:00 [xdg-permission-] <defunct>
root        4390       1  0 08:08 ?        00:00:00 [xdg-document-po] <defunct>
root        4397       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        4408       1  0 08:08 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        4413       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        4451       1  0 08:08 ?        00:00:00 [glycin-svg] <defunct>
root        4457       1  0 08:08 ?        00:00:00 [at-spi2-registr] <defunct>
root        4490       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        4498       1  3 08:08 ?        00:00:02 [python3] <defunct>
root        4520       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        4527       1  0 08:08 ?        00:00:00 [xdg-permission-] <defunct>
root        4533       1  0 08:08 ?        00:00:00 [xdg-document-po] <defunct>
root        4540       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        4551       1  0 08:08 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        4556       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        4594       1  0 08:08 ?        00:00:00 [glycin-svg] <defunct>
root        4599       1  0 08:08 ?        00:00:00 [at-spi2-registr] <defunct>
root        4633       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        4641       1  4 08:08 ?        00:00:03 [python3] <defunct>
root        4663       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        4670       1  0 08:08 ?        00:00:00 [xdg-permission-] <defunct>
root        4676       1  0 08:08 ?        00:00:00 [xdg-document-po] <defunct>
root        4683       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        4694       1  0 08:08 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        4699       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        4750       1  0 08:08 ?        00:00:00 [at-spi2-registr] <defunct>
root        4838       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        4846       1  4 08:08 ?        00:00:03 [python3] <defunct>
root        4869       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        4875       1  0 08:08 ?        00:00:00 [xdg-permission-] <defunct>
root        4881       1  0 08:08 ?        00:00:00 [xdg-document-po] <defunct>
root        4888       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        4899       1  0 08:08 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        4904       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        4992       1  0 08:08 ?        00:00:00 [at-spi2-registr] <defunct>
root        5044       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        5052       1  5 08:08 ?        00:00:03 [python3] <defunct>
root        5074       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        5081       1  0 08:08 ?        00:00:00 [xdg-permission-] <defunct>
root        5087       1  0 08:08 ?        00:00:00 [xdg-document-po] <defunct>
root        5094       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        5105       1  0 08:08 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        5110       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        5150       1  0 08:08 ?        00:00:00 [at-spi2-registr] <defunct>
root        5248       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        5256       1  6 08:08 ?        00:00:03 [python3] <defunct>
root        5278       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        5285       1  0 08:08 ?        00:00:00 [xdg-permission-] <defunct>
root        5291       1  0 08:08 ?        00:00:00 [xdg-document-po] <defunct>
root        5298       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        5308       1  0 08:08 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        5313       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        5355       1  0 08:08 ?        00:00:00 [at-spi2-registr] <defunct>
root        5455       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        5463       1  4 08:08 ?        00:00:02 [python3] <defunct>
root        5485       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        5492       1  0 08:08 ?        00:00:00 [xdg-permission-] <defunct>
root        5498       1  0 08:08 ?        00:00:00 [xdg-document-po] <defunct>
root        5505       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        5516       1  0 08:08 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        5521       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        5561       1  0 08:08 ?        00:00:00 [at-spi2-registr] <defunct>
root        5656       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        5664       1  5 08:08 ?        00:00:02 [python3] <defunct>
root        5686       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        5693       1  0 08:08 ?        00:00:00 [xdg-permission-] <defunct>
root        5699       1  0 08:08 ?        00:00:00 [xdg-document-po] <defunct>
root        5706       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        5716       1  0 08:08 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        5721       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        5807       1  0 08:08 ?        00:00:00 [at-spi2-registr] <defunct>
root        5858       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        5866       1  8 08:08 ?        00:00:03 [python3] <defunct>
root        5888       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        5895       1  0 08:08 ?        00:00:00 [xdg-permission-] <defunct>
root        5901       1  0 08:08 ?        00:00:00 [xdg-document-po] <defunct>
root        5908       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        5919       1  0 08:08 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        5924       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        5979       1  0 08:08 ?        00:00:00 [at-spi2-registr] <defunct>
root        6067       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        6075       1  8 08:08 ?        00:00:04 [python3] <defunct>
root        6098       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        6104       1  0 08:08 ?        00:00:00 [xdg-permission-] <defunct>
root        6110       1  0 08:08 ?        00:00:00 [xdg-document-po] <defunct>
root        6117       1  0 08:08 ?        00:00:00 [xdg-desktop-por] <defunct>
root        6127       1  0 08:08 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        6132       1  0 08:08 ?        00:00:00 [dbus-daemon] <defunct>
root        6218       1  0 08:08 ?        00:00:00 [at-spi2-registr] <defunct>
root        6275       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        6283       1  6 08:09 ?        00:00:02 [python3] <defunct>
root        6306       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        6312       1  0 08:09 ?        00:00:00 [xdg-permission-] <defunct>
root        6318       1  0 08:09 ?        00:00:00 [xdg-document-po] <defunct>
root        6325       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        6336       1  0 08:09 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        6341       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        6381       1  0 08:09 ?        00:00:00 [at-spi2-registr] <defunct>
root        6476       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        6484       1  7 08:09 ?        00:00:02 [python3] <defunct>
root        6507       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        6513       1  0 08:09 ?        00:00:00 [xdg-permission-] <defunct>
root        6519       1  0 08:09 ?        00:00:00 [xdg-document-po] <defunct>
root        6526       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        6537       1  0 08:09 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        6542       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        6582       1  0 08:09 ?        00:00:00 [at-spi2-registr] <defunct>
root        6677       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        6685       1 12 08:09 ?        00:00:04 [python3] <defunct>
root        6708       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        6714       1  0 08:09 ?        00:00:00 [xdg-permission-] <defunct>
root        6720       1  0 08:09 ?        00:00:00 [xdg-document-po] <defunct>
root        6727       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        6737       1  0 08:09 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        6742       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        6782       1  0 08:09 ?        00:00:00 [at-spi2-registr] <defunct>
root        6884       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        6892       1 14 08:09 ?        00:00:04 [python3] <defunct>
root        6915       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        6921       1  0 08:09 ?        00:00:00 [xdg-permission-] <defunct>
root        6927       1  0 08:09 ?        00:00:00 [xdg-document-po] <defunct>
root        6934       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        6945       1  0 08:09 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        6950       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        7037       1  0 08:09 ?        00:00:00 [at-spi2-registr] <defunct>
root        7095       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        7103       1  8 08:09 ?        00:00:02 [python3] <defunct>
root        7126       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        7132       1  0 08:09 ?        00:00:00 [xdg-permission-] <defunct>
root        7138       1  0 08:09 ?        00:00:00 [xdg-document-po] <defunct>
root        7145       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        7155       1  0 08:09 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        7160       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        7200       1  0 08:09 ?        00:00:00 [at-spi2-registr] <defunct>
root        7296       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        7304       1 10 08:09 ?        00:00:02 [python3] <defunct>
root        7327       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        7333       1  0 08:09 ?        00:00:00 [xdg-permission-] <defunct>
root        7339       1  0 08:09 ?        00:00:00 [xdg-document-po] <defunct>
root        7346       1  0 08:09 ?        00:00:00 [xdg-document-po] <defunct>
root        7353       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        7364       1  0 08:09 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        7369       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        7455       1  0 08:09 ?        00:00:00 [at-spi2-registr] <defunct>
root        7505       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        7513       1 11 08:09 ?        00:00:02 [python3] <defunct>
root        7536       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        7542       1  0 08:09 ?        00:00:00 [xdg-permission-] <defunct>
root        7548       1  0 08:09 ?        00:00:00 [xdg-document-po] <defunct>
root        7555       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        7565       1  0 08:09 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        7570       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        7605       1  0 08:09 ?        00:00:00 [at-spi2-registr] <defunct>
root        7633       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        7641       1 14 08:09 ?        00:00:02 [python3] <defunct>
root        7665       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        7671       1  0 08:09 ?        00:00:00 [xdg-permission-] <defunct>
root        7677       1  0 08:09 ?        00:00:00 [xdg-document-po] <defunct>
root        7684       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        7695       1  0 08:09 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        7700       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        7734       1  0 08:09 ?        00:00:00 [at-spi2-registr] <defunct>
root        7762       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        7770       1 33 08:09 ?        00:00:03 [python3] <defunct>
root        7792       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        7799       1  0 08:09 ?        00:00:00 [xdg-permission-] <defunct>
root        7805       1  0 08:09 ?        00:00:00 [xdg-document-po] <defunct>
root        7812       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        7822       1  0 08:09 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        7827       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        7951       1  0 08:09 ?        00:00:00 [at-spi2-registr] <defunct>
root        8039       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        8047       1 66 08:09 ?        00:00:03 [python3] <defunct>
root        8069       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        8076       1  0 08:09 ?        00:00:00 [xdg-permission-] <defunct>
root        8082       1  0 08:09 ?        00:00:00 [xdg-document-po] <defunct>
root        8089       1  0 08:09 ?        00:00:00 [xdg-desktop-por] <defunct>
root        8099       1  0 08:09 ?        00:00:00 [at-spi-bus-laun] <defunct>
root        8104       1  0 08:09 ?        00:00:00 [dbus-daemon] <defunct>
root        8227       1  0 08:09 ?        00:00:00 [at-spi2-registr] <defunct>
root        8313    2498  0 08:09 ?        00:00:00 ps -ef
